Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
DELHI HAZRAT NIZAMUDDIN (NZM),---------,Start,09:15,5,No,,,,,,,,,,,,,,
FARIDABAD (FDB),09:35,2 mins,09:37,-,No,,,,,,,,,,,,,,
MATHURA JN (MTJ),11:03,2 mins,11:05,1,No,,,,,,,,,,,,,,
AGRA CANTT (AGC),11:50,5 mins,11:55,1,No,,,,,,,,,,,,,,
MORENA (MRA),13:22,2 mins,13:24,1,No,,,,,,,,,,,,,,
GWALIOR JN (GWL),13:55,5 mins,14:00,1,No,,,,,,,,,,,,,,
JHANSI JN (JHS),15:30,10 mins,15:40,4,No,,,,,,,,,,,,,,
BINA JN (BINA),17:40,5 mins,17:45,2,No,,,,,,,,,,,,,,
BHOPAL JN (BPL),19:40,10 mins,19:50,-,No,,,,,,,,,,,,,,
ITARSI JN (ET),21:25,5 mins,21:30,-,No,,,,,,,,,,,,,,
KHANDWA (KNW),00:07,3 mins,00:10,-,No,,,,,,,,,,,,,,
BURHANPUR (BAU),01:00,2 mins,01:02,-,No,,,,,,,,,,,,,,
BHUSAVAL JN (BSL),02:00,5 mins,02:05,1,No,,,,,,,,,,,,,,
MANMAD JN (MMR),04:23,2 mins,04:25,-,No,,,,,,,,,,,,,,
NASIK ROAD (NK),05:15,5 mins,05:20,1,No,,,,,,,,,,,,,,
IGATPURI (IGP),06:40,5 mins,06:45,-,No,,,,,,,,,,,,,,
KALYAN JN (KYN),08:32,3 mins,08:35,6,No,,,,,,,,,,,,,,
PANVEL (PNVL),09:25,5 mins,09:30,1,No,,,,,,,,,,,,,,
CHIPLUN (CHI),13:30,2 mins,13:32,-,No,,,,,,,,,,,,,,
RATNAGIRI (RN),16:25,5 mins,16:30,-,No,,,,,,,,,,,,,,
KANKAVALI (KKW),18:28,2 mins,18:30,1,No,,,,,,,,,,,,,,
THIVIM (THVM),19:38,2 mins,19:40,-,No,,,,,,,,,,,,,,
MADGAON (MAO),20:35,10 mins,20:45,1,No,,,,,,,,,,,,,,
KARWAR (KAWR),21:50,2 mins,21:52,1,No,,,,,,,,,,,,,,
KUMTA (KT),22:50,2 mins,22:52,-,No,,,,,,,,,,,,,,
BHATKAL (BTJL),23:40,2 mins,23:42,-,No,,,,,,,,,,,,,,
UDUPI (UD),00:56,2 mins,00:58,-,No,,,,,,,,,,,,,,
MANGALORE JN (MAJN),02:25,15 mins,02:40,1,No,,,,,,,,,,,,,,
KASARAGOD (KGQ),03:23,2 mins,03:25,-,No,,,,,,,,,,,,,,
KANNUR (CAN),05:02,3 mins,05:05,-,No,,,,,,,,,,,,,,
KOZHIKODE (CLT),06:47,3 mins,06:50,1,No,,,,,,,,,,,,,,
TIRUR (TIR),07:33,2 mins,07:35,-,No,,,,,,,,,,,,,,
SHORANUR JN (SRR),09:00,5 mins,09:05,-,No,,,,,,,,,,,,,,
THRISSUR (TCR),09:37,3 mins,09:40,-,No,,,,,,,,,,,,,,
ERNAKULAM JN (ERS),12:15,End,---------,-,No,,,,,,,,,,,,,,
