Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
KALKA (KLK),---------,Start,10:20,5,No,,,,,,,,,,,,,,
CHANDIGARH (CDG),11:05,15 mins,11:20,1,No,,,,,,,,,,,,,,
AMBALA CANT JN (UMB),12:05,1hr 5 mins,13:10,1,No,,,,,,,,,,,,,,
KURUKSHETRA JN (KKDE),13:40,2 mins,13:42,-,No,,,,,,,,,,,,,,
KARNAL (KUN),14:04,2 mins,14:06,-,No,,,,,,,,,,,,,,
PANIPAT JN (PNP),14:36,2 mins,14:38,-,No,,,,,,,,,,,,,,
SONIPAT (SNP),15:16,2 mins,15:18,-,No,,,,,,,,,,,,,,
SUBZI MANDI (SZM),15:54,2 mins,15:56,-,No,,,,,,,,,,,,,,
NEW DELHI (NDLS),16:25,20 mins,16:45,1,No,,,,,,,,,,,,,,
FARIDABAD (FDB),17:11,2 mins,17:13,-,No,,,,,,,,,,,,,,
MATHURA JN (MTJ),19:10,5 mins,19:15,1,No,,,,,,,,,,,,,,
BHARATPUR JN (BTE),19:41,2 mins,19:43,-,No,,,,,,,,,,,,,,
BAYANA JN (BXN),20:11,2 mins,20:13,-,No,,,,,,,,,,,,,,
HINDAUN CITY (HAN),20:36,2 mins,20:38,-,No,,,,,,,,,,,,,,
GANGAPUR CITY (GGC),21:13,2 mins,21:15,-,No,,,,,,,,,,,,,,
SAWAI MADHOPUR (SWM),22:00,5 mins,22:05,-,No,,,,,,,,,,,,,,
KOTA JN (KOTA),23:30,10 mins,23:40,-,No,,,,,,,,,,,,,,
RAMGANJ MANDI (RMA),00:33,2 mins,00:35,-,No,,,,,,,,,,,,,,
SHAMGARH (SGZ),01:15,2 mins,01:17,-,No,,,,,,,,,,,,,,
NAGDA JN (NAD),03:13,2 mins,03:15,-,No,,,,,,,,,,,,,,
RATLAM JN (RTM),04:15,10 mins,04:25,-,No,,,,,,,,,,,,,,
MEGHNAGAR (MGN),05:28,2 mins,05:30,-,No,,,,,,,,,,,,,,
DAHOD (DHD),05:57,2 mins,05:59,-,No,,,,,,,,,,,,,,
GODHRA JN (GDA),07:20,2 mins,07:22,-,No,,,,,,,,,,,,,,
VADODARA JN (BRC),08:20,10 mins,08:30,-,No,,,,,,,,,,,,,,
BHARUCH JN (BH),09:16,2 mins,09:18,-,No,,,,,,,,,,,,,,
SURAT (ST),10:23,5 mins,10:28,-,No,,,,,,,,,,,,,,
NAVSARI (NVS),10:49,2 mins,10:51,-,No,,,,,,,,,,,,,,
VALSAD (BL),11:28,2 mins,11:30,-,No,,,,,,,,,,,,,,
VAPI (VAPI),11:50,2 mins,11:52,-,No,,,,,,,,,,,,,,
DAHANU ROAD (DRD),12:32,2 mins,12:34,-,No,,,,,,,,,,,,,,
BORIVALI (BVI),13:55,2 mins,13:57,-,No,,,,,,,,,,,,,,
ANDHERI (ADH),14:17,2 mins,14:19,-,No,,,,,,,,,,,,,,
MUMBAI BANDRA TERMINUS (BDTS),14:45,End,---------,-,No,,,,,,,,,,,,,,
