Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
,,,,,,,,,,,,,,,,,,,
AMRITSAR JN (ASR),---------,Start,21:25,1,No,,,,,,,,,,,,,,
BEAS (BEAS),21:53,2 mins,21:55,-,No,,,,,,,,,,,,,,
JALANDHAR CITY (JUC),22:28,10 mins,22:38,-,No,,,,,,,,,,,,,,
JALANDHAR CANT (JRC),22:46,2 mins,22:48,-,No,,,,,,,,,,,,,,
PHAGWARA JN (PGW),23:03,2 mins,23:05,-,No,,,,,,,,,,,,,,
LUDHIANA JN (LDH),23:49,10 mins,23:59,1,No,,,,,,,,,,,,,,
AMBALA CANT JN (UMB),01:50,10 mins,02:00,2,No,,,,,,,,,,,,,,
YAMUNANAGAR JAGADHARI (YJUD),02:38,2 mins,02:40,-,No,,,,,,,,,,,,,,
SAHARANPUR (SRE),03:30,10 mins,03:40,-,No,,,,,,,,,,,,,,
MUZAFFARNAGAR (MOZ),04:23,2 mins,04:25,2,No,,,,,,,,,,,,,,
SAKHOTI TANDA (SKF),04:47,1 min,04:48,-,No,,,,,,,,,,,,,,
MEERUT CANT (MUT),05:01,2 mins,05:03,-,No,,,,,,,,,,,,,,
MEERUT CITY (MTC),05:17,5 mins,05:22,4,No,,,,,,,,,,,,,,
GHAZIABAD (GZB),06:18,2 mins,06:20,1,No,,,,,,,,,,,,,,
DELHI HAZRAT NIZAMUDDIN (NZM),07:05,15 mins,07:20,1,No,,,,,,,,,,,,,,
FARIDABAD (FDB),07:37,2 mins,07:39,-,No,,,,,,,,,,,,,,
MATHURA JN (MTJ),09:45,5 mins,09:50,2,No,,,,,,,,,,,,,,
BHARATPUR JN (BTE),10:23,2 mins,10:25,3,No,,,,,,,,,,,,,,
BAYANA JN (BXN),10:53,2 mins,10:55,2,No,,,,,,,,,,,,,,
HINDAUN CITY (HAN),11:18,2 mins,11:20,-,No,,,,,,,,,,,,,,
SHRI MAHABIRJI (SMBJ),11:28,2 mins,11:30,-,No,,,,,,,,,,,,,,
GANGAPUR CITY (GGC),12:00,5 mins,12:05,1,No,,,,,,,,,,,,,,
SAWAI MADHOPUR (SWM),12:50,5 mins,12:55,-,No,,,,,,,,,,,,,,
KOTA JN (KOTA),14:15,10 mins,14:25,1,No,,,,,,,,,,,,,,
RAMGANJ MANDI (RMA),15:21,1 min,15:22,-,No,,,,,,,,,,,,,,
BHAWANI MANDI (BWM),15:43,2 mins,15:45,-,No,,,,,,,,,,,,,,
SHAMGARH (SGZ),16:08,2 mins,16:10,-,No,,,,,,,,,,,,,,
NAGDA JN (NAD),17:50,2 mins,17:52,-,No,,,,,,,,,,,,,,
RATLAM JN (RTM),18:50,10 mins,19:00,1,No,,,,,,,,,,,,,,
MEGHNAGAR (MGN),20:03,2 mins,20:05,-,No,,,,,,,,,,,,,,
DAHOD (DHD),20:32,2 mins,20:34,-,No,,,,,,,,,,,,,,
GODHRA JN (GDA),21:51,2 mins,21:53,-,No,,,,,,,,,,,,,,
VADODARA JN (BRC),22:53,10 mins,23:03,2,No,,,,,,,,,,,,,,
SURAT (ST),00:57,5 mins,01:02,2,No,,,,,,,,,,,,,,
BORIVALI (BVI),03:58,4 mins,04:02,1,No,,,,,,,,,,,,,,
MUMBAI DADAR WEST (DDR),04:41,3 mins,04:44,-,No,,,,,,,,,,,,,,
MUMBAI CENTRAL (MMCT),05:05,End,---------,-,No,,,,,,,,,,,,,,
